method,metric,aggregation,value
Average of Embeddings,generation_best_score,25%,1.2578125
Random Embedding - BASELINE,generation_best_score,25%,174.0
Weighted average with w_i = w_{i+1} * 5,generation_best_score,25%,0.9951171875
Average of Embeddings,generation_best_score,50%,2.328125
Random Embedding - BASELINE,generation_best_score,50%,183.0
Weighted average with w_i = w_{i+1} * 5,generation_best_score,50%,2.03125
Average of Embeddings,generation_best_score,75%,3.40625
Random Embedding - BASELINE,generation_best_score,75%,192.0
Weighted average with w_i = w_{i+1} * 5,generation_best_score,75%,3.078125
Average of Embeddings,generation_best_score,count,2092.0
Random Embedding - BASELINE,generation_best_score,count,2092.0
Weighted average with w_i = w_{i+1} * 5,generation_best_score,count,2092.0
Average of Embeddings,generation_best_score,max,11.5625
Random Embedding - BASELINE,generation_best_score,max,312.0
Weighted average with w_i = w_{i+1} * 5,generation_best_score,max,6.625
Average of Embeddings,generation_best_score,mean,2.339522454752293
Random Embedding - BASELINE,generation_best_score,mean,184.0831739961759
Weighted average with w_i = w_{i+1} * 5,generation_best_score,mean,1.997080853974614
Average of Embeddings,generation_best_score,min,-3.234375
Random Embedding - BASELINE,generation_best_score,min,116.0
Weighted average with w_i = w_{i+1} * 5,generation_best_score,min,-3.234375
Average of Embeddings,generation_best_score,std,1.722661704888327
Random Embedding - BASELINE,generation_best_score,std,19.03226674086385
Weighted average with w_i = w_{i+1} * 5,generation_best_score,std,1.6099883040903835
Average of Embeddings,new_token_rank,25%,60.0
Random Embedding - BASELINE,new_token_rank,25%,19.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,25%,4.0
Average of Embeddings,new_token_rank,50%,110.0
Random Embedding - BASELINE,new_token_rank,50%,49018.5
Weighted average with w_i = w_{i+1} * 5,new_token_rank,50%,6.0
Average of Embeddings,new_token_rank,75%,302.0
Random Embedding - BASELINE,new_token_rank,75%,49195.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,75%,14.0
Average of Embeddings,new_token_rank,count,2092.0
Random Embedding - BASELINE,new_token_rank,count,2092.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,count,2092.0
Average of Embeddings,new_token_rank,max,7921.0
Random Embedding - BASELINE,new_token_rank,max,49201.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,max,10112.0
Average of Embeddings,new_token_rank,mean,298.02246653919696
Random Embedding - BASELINE,new_token_rank,mean,27380.262906309752
Weighted average with w_i = w_{i+1} * 5,new_token_rank,mean,52.118546845124285
Average of Embeddings,new_token_rank,min,12.0
Random Embedding - BASELINE,new_token_rank,min,0.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,min,1.0
Average of Embeddings,new_token_rank,std,606.678943889128
Random Embedding - BASELINE,new_token_rank,std,23764.95848329573
Weighted average with w_i = w_{i+1} * 5,new_token_rank,std,448.2836947414106
Average of Embeddings,new_token_score,25%,-3.84375
Random Embedding - BASELINE,new_token_score,25%,-67.125
Weighted average with w_i = w_{i+1} * 5,new_token_score,25%,-0.39599609375
Average of Embeddings,new_token_score,50%,-2.5625
Random Embedding - BASELINE,new_token_score,50%,-19.9375
Weighted average with w_i = w_{i+1} * 5,new_token_score,50%,0.80859375
Average of Embeddings,new_token_score,75%,-1.34375
Random Embedding - BASELINE,new_token_score,75%,15.0
Weighted average with w_i = w_{i+1} * 5,new_token_score,75%,1.875
Average of Embeddings,new_token_score,count,2092.0
Random Embedding - BASELINE,new_token_score,count,2092.0
Weighted average with w_i = w_{i+1} * 5,new_token_score,count,2092.0
Average of Embeddings,new_token_score,max,6.65625
Random Embedding - BASELINE,new_token_score,max,232.0
Weighted average with w_i = w_{i+1} * 5,new_token_score,max,5.53125
Average of Embeddings,new_token_score,mean,-2.615836593890509
Random Embedding - BASELINE,new_token_score,mean,-18.404071990208234
Weighted average with w_i = w_{i+1} * 5,new_token_score,mean,0.5829132328069917
Average of Embeddings,new_token_score,min,-12.3125
Random Embedding - BASELINE,new_token_score,min,-165.0
Weighted average with w_i = w_{i+1} * 5,new_token_score,min,-13.3125
Average of Embeddings,new_token_score,std,2.09390993879475
Random Embedding - BASELINE,new_token_score,std,68.81227358450663
Weighted average with w_i = w_{i+1} * 5,new_token_score,std,2.049017667670155
