method,metric,aggregation,value
Average of Embeddings,generation_best_score,25%,2.23046875
Random Embedding - BASELINE,generation_best_score,25%,91.0
Weighted average with w_i = w_{i+1} * 5,generation_best_score,25%,2.546875
Average of Embeddings,generation_best_score,50%,6.015625
Random Embedding - BASELINE,generation_best_score,50%,108.0
Weighted average with w_i = w_{i+1} * 5,generation_best_score,50%,6.171875
Average of Embeddings,generation_best_score,75%,9.421875
Random Embedding - BASELINE,generation_best_score,75%,148.75
Weighted average with w_i = w_{i+1} * 5,generation_best_score,75%,10.125
Average of Embeddings,generation_best_score,count,858.0
Random Embedding - BASELINE,generation_best_score,count,858.0
Weighted average with w_i = w_{i+1} * 5,generation_best_score,count,858.0
Average of Embeddings,generation_best_score,max,25.375
Random Embedding - BASELINE,generation_best_score,max,314.0
Weighted average with w_i = w_{i+1} * 5,generation_best_score,max,28.5
Average of Embeddings,generation_best_score,mean,6.671435518420382
Random Embedding - BASELINE,generation_best_score,mean,122.95658508158508
Weighted average with w_i = w_{i+1} * 5,generation_best_score,mean,7.276144956931089
Average of Embeddings,generation_best_score,min,-6.84375
Random Embedding - BASELINE,generation_best_score,min,46.5
Weighted average with w_i = w_{i+1} * 5,generation_best_score,min,-6.21875
Average of Embeddings,generation_best_score,std,6.059434726387361
Random Embedding - BASELINE,generation_best_score,std,47.2413404521713
Weighted average with w_i = w_{i+1} * 5,generation_best_score,std,6.568518174353291
Average of Embeddings,new_token_rank,25%,20.0
Random Embedding - BASELINE,new_token_rank,25%,13.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,25%,3.0
Average of Embeddings,new_token_rank,50%,97.0
Random Embedding - BASELINE,new_token_rank,50%,49164.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,50%,9.0
Average of Embeddings,new_token_rank,75%,278.75
Random Embedding - BASELINE,new_token_rank,75%,49186.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,75%,23.0
Average of Embeddings,new_token_rank,count,858.0
Random Embedding - BASELINE,new_token_rank,count,858.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,count,858.0
Average of Embeddings,new_token_rank,max,2805.0
Random Embedding - BASELINE,new_token_rank,max,49201.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,max,4431.0
Average of Embeddings,new_token_rank,mean,227.33333333333334
Random Embedding - BASELINE,new_token_rank,mean,27249.39627039627
Weighted average with w_i = w_{i+1} * 5,new_token_rank,mean,61.40792540792541
Average of Embeddings,new_token_rank,min,1.0
Random Embedding - BASELINE,new_token_rank,min,0.0
Weighted average with w_i = w_{i+1} * 5,new_token_rank,min,0.0
Average of Embeddings,new_token_rank,std,337.9566795177298
Random Embedding - BASELINE,new_token_rank,std,24031.65066707744
Weighted average with w_i = w_{i+1} * 5,new_token_rank,std,318.7670771980318
Average of Embeddings,new_token_score,25%,-1.69921875
Random Embedding - BASELINE,new_token_score,25%,-65.375
Weighted average with w_i = w_{i+1} * 5,new_token_score,25%,0.95703125
Average of Embeddings,new_token_score,50%,2.546875
Random Embedding - BASELINE,new_token_score,50%,-19.5
Weighted average with w_i = w_{i+1} * 5,new_token_score,50%,4.875
Average of Embeddings,new_token_score,75%,6.9296875
Random Embedding - BASELINE,new_token_score,75%,31.96875
Weighted average with w_i = w_{i+1} * 5,new_token_score,75%,8.859375
Average of Embeddings,new_token_score,count,858.0
Random Embedding - BASELINE,new_token_score,count,858.0
Weighted average with w_i = w_{i+1} * 5,new_token_score,count,858.0
Average of Embeddings,new_token_score,max,22.0
Random Embedding - BASELINE,new_token_score,max,191.0
Weighted average with w_i = w_{i+1} * 5,new_token_score,max,22.875
Average of Embeddings,new_token_score,mean,2.954145809431454
Random Embedding - BASELINE,new_token_score,mean,-16.577094978385873
Weighted average with w_i = w_{i+1} * 5,new_token_score,mean,5.4572080954527245
Average of Embeddings,new_token_score,min,-10.625
Random Embedding - BASELINE,new_token_score,min,-239.0
Weighted average with w_i = w_{i+1} * 5,new_token_score,min,-9.0
Average of Embeddings,new_token_score,std,5.892141308573004
Random Embedding - BASELINE,new_token_score,std,76.24409128452628
Weighted average with w_i = w_{i+1} * 5,new_token_score,std,6.022736188474148
