number_new_tokens,model,model_type,version,FertilityInput,Perplexity,FertilityOutput,MMLU,CalamePT,SupergluePTPT
1000,HuggingFaceTB/SmolLM2-135M,BASELINE,results@2025-08-12 01:40:27,2.4748432934166047,283.38605024337767,3.074218970879276,0.2325167355077624,0.1353564547206165,0.0146782085058336
1000,HuggingFaceTB/SmolLM2-135M,INITIALIZED_NO_TRAINING,results@2025-08-12 01:40:27,1.9365427147195324,1134.2960266113282,3.2442602933512026,0.2325167355077624,0.1353564547206165,0.0146782085058336
1000,HuggingFaceTB/SmolLM2-135M,INITIALIZED_WITH_TRAINING,results@2025-08-12 01:40:27,1.9365427147195324,1200.9056139564514,3.295875958603231,0.2325167355077624,0.1353564547206165,0.0146782085058336
5000,HuggingFaceTB/SmolLM2-135M,BASELINE,results@2025-08-12 03:04:02,2.4748432934166047,283.38605024337767,3.074218970879276,0.2325167355077624,0.1353564547206165,0.0146782085058336
5000,HuggingFaceTB/SmolLM2-135M,INITIALIZED_NO_TRAINING,results@2025-08-12 03:04:02,1.7589961611184324,1965.7165289497373,2.758511842563567,0.2325167355077624,0.1353564547206165,0.015054572826496
5000,HuggingFaceTB/SmolLM2-135M,INITIALIZED_WITH_TRAINING,results@2025-08-12 03:04:02,1.7589961611184324,2086.669627952576,2.792972831765935,0.2325167355077624,0.1353564547206165,0.015054572826496
7500,HuggingFaceTB/SmolLM2-135M,BASELINE,results@2025-08-12 04:35:42,2.4748432934166047,283.38605024337767,3.074218970879276,0.2325167355077624,0.1353564547206165,0.0146782085058336
7500,HuggingFaceTB/SmolLM2-135M,INITIALIZED_NO_TRAINING,results@2025-08-12 04:35:42,1.7549326763307167,2707.2382502555847,2.825157743200196,0.2325167355077624,0.1353564547206165,0.015054572826496
7500,HuggingFaceTB/SmolLM2-135M,INITIALIZED_WITH_TRAINING,results@2025-08-12 04:35:42,1.7549326763307167,2707.7220050430296,2.8554429061504534,0.2325167355077624,0.1353564547206165,0.015054572826496
1000,HuggingFaceTB/SmolLM3-3B,BASELINE,results@2025-08-12 18:49:42,1.9400171890219449,,2.0012782997073773,0.5666571713431136,0.5852601156069365,0.4968636306611466
1000,HuggingFaceTB/SmolLM3-3B,INITIALIZED_NO_TRAINING,results@2025-08-12 18:49:42,1.765133787887469,,2.1101669974469948,0.5666571713431136,0.5852601156069365,0.4968636306611466
1000,HuggingFaceTB/SmolLM3-3B,INITIALIZED_WITH_TRAINING,results@2025-08-12 18:49:42,1.765133787887469,,2.106962883522944,0.5666571713431136,0.5852601156069365,0.4968636306611466
5000,HuggingFaceTB/SmolLM3-3B,INITIALIZED_NO_TRAINING,results@2025-08-13 00:42:32,1.652690081934338,,2.049587672943068,0.5666571713431136,0.5852601156069365,0.4968636306611466
5000,HuggingFaceTB/SmolLM3-3B,INITIALIZED_WITH_TRAINING,results@2025-08-13 00:42:32,1.652690081934338,,2.0366968271070163,0.5666571713431136,0.5852601156069365,0.4968636306611466
7500,HuggingFaceTB/SmolLM3-3B,INITIALIZED_NO_TRAINING,results@2025-08-13 06:43:44,1.6540789549074657,,2.015735879200165,0.5666571713431136,0.5852601156069365,0.4968636306611466
7500,HuggingFaceTB/SmolLM3-3B,INITIALIZED_WITH_TRAINING,results@2025-08-13 06:43:44,1.6540789549074657,,2.0332219130076274,0.5666571713431136,0.5852601156069365,0.4968636306611466
1000,Qwen/Qwen2.5-1.5B-Instruct,BASELINE,results@2025-08-12 05:33:51,1.9332034607230848,1900.2253355884552,1.7390100719842096,0.5896595926506196,0.4961464354527938,0.4023961861748839
1000,Qwen/Qwen2.5-1.5B-Instruct,INITIALIZED_NO_TRAINING,results@2025-08-12 05:33:51,1.7634721824328197,53328.02392004013,2.194537160658656,0.5896595926506196,0.4961464354527938,0.3985698155814828
1000,Qwen/Qwen2.5-1.5B-Instruct,INITIALIZED_WITH_TRAINING,results@2025-08-12 05:33:51,1.7634721824328197,15517.96039741516,2.2110206771421725,0.5896595926506196,0.4961464354527938,0.3979425417137122
5000,Qwen/Qwen2.5-1.5B-Instruct,BASELINE,results@2025-08-12 07:20:38,1.9332034607230848,1900.2253355884552,1.7390100719842096,0.5896595926506196,0.4961464354527938,0.4023961861748839
5000,Qwen/Qwen2.5-1.5B-Instruct,INITIALIZED_NO_TRAINING,results@2025-08-12 07:20:38,1.6648461582535954,65642.69842746735,2.1904761904761902,0.5896595926506196,0.4961464354527938,0.4028352778823234
5000,Qwen/Qwen2.5-1.5B-Instruct,INITIALIZED_WITH_TRAINING,results@2025-08-12 07:20:38,1.6648461582535954,724478.5539441109,2.264745670995671,0.5896595926506196,0.4961464354527938,0.4020825492409986
7500,Qwen/Qwen2.5-1.5B-Instruct,BASELINE,results@2025-08-12 09:20:28,1.9332034607230848,1900.2253355884552,1.7390100719842096,0.5896595926506196,0.4961464354527938,0.4023961861748839
7500,Qwen/Qwen2.5-1.5B-Instruct,INITIALIZED_NO_TRAINING,results@2025-08-12 09:20:28,1.666995931931473,155106.68037136077,2.1948215257936803,0.5896595926506196,0.4956647398843931,0.4013925479864509
7500,Qwen/Qwen2.5-1.5B-Instruct,INITIALIZED_WITH_TRAINING,results@2025-08-12 09:20:28,1.666995931931473,802826.4794509888,2.1692852643023626,0.5896595926506196,0.4956647398843931,0.4006398193451261
